,sbj,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,goal,rt_max,value diff,Right Value - Left Value,gaze diff,Dwell Time Advantage (R - L)
156,0,79,1.987,0,2.3,1.1,0.529441369,0.470558631,1,7.946718428440665,3.0,-2.0,4.0,0.0
157,0,80,1.573,0,0.35,1.1,0.726067747,0.273932253,-1,7.946718428440665,6.0,1.0,2.0,-0.5
158,0,80,2.166,0,1.85,1.1,0.499076639,0.500923361,1,7.946718428440665,4.0,-1.0,4.0,0.0
159,0,81,1.712,1,1.85,1.85,0.426388889,0.573611111,-1,7.946718428440665,5.0,0.0,5.0,0.25
160,0,81,2.263,0,2.0,1.55,0.473012758,0.526987242,1,7.946718428440665,4.0,-1.0,4.0,0.0
161,0,82,2.04,0,1.55,1.7,0.555183946,0.444816054,-1,7.946718428440665,5.0,0.0,4.0,0.0
162,0,82,1.491,1,0.8,1.55,0.356012658,0.643987342,1,7.946718428440665,6.0,1.0,5.0,0.25
163,0,83,2.372,1,2.0,1.85,0.419354839,0.580645161,-1,7.946718428440665,5.0,0.0,5.0,0.25
164,0,83,1.697,0,1.1,1.25,0.519740719,0.480259281,1,7.946718428440665,5.0,0.0,4.0,0.0
165,0,84,4.185,0,2.0,1.7,0.507297433,0.492702567,-1,7.946718428440665,4.0,-1.0,4.0,0.0
166,0,84,2.25,1,1.55,1.7,0.486486486,0.513513514,1,7.946718428440665,5.0,0.0,4.0,0.0
167,0,85,3.429,1,1.1,1.25,0.449592987,0.550407013,-1,7.946718428440665,5.0,0.0,4.0,0.0
168,0,85,2.017,0,1.7,1.25,0.647000496,0.352999504,1,7.946718428440665,4.0,-1.0,3.0,-0.25
169,0,86,2.044,0,1.4,1.55,0.568117581,0.431882419,-1,7.946718428440665,5.0,0.0,3.0,-0.25
170,0,86,2.098,1,1.7,1.85,0.484177215,0.515822785,1,7.946718428440665,5.0,0.0,4.0,0.0
171,0,87,2.542,1,2.0,0.95,0.498705781,0.501294219,-1,7.946718428440665,3.0,-2.0,4.0,0.0
172,0,87,1.744,0,2.0,1.25,0.614379085,0.385620915,1,7.946718428440665,4.0,-1.0,3.0,-0.25
173,0,88,1.576,1,2.0,1.25,0.430249633,0.569750367,-1,7.946718428440665,4.0,-1.0,5.0,0.25
174,0,88,2.002,0,1.85,1.85,0.557649667,0.442350333,1,7.946718428440665,5.0,0.0,3.0,-0.25
175,0,89,2.497,0,1.1,1.1,0.505309735,0.494690265,-1,7.946718428440665,5.0,0.0,4.0,0.0
176,0,89,2.099,0,2.0,1.1,0.6672,0.3328,1,7.946718428440665,3.0,-2.0,2.0,-0.5
177,0,90,2.511,1,1.85,1.1,0.373310074,0.626689926,-1,7.946718428440665,4.0,-1.0,5.0,0.25
178,0,90,4.34,0,1.4,1.7,0.573552025,0.426447975,1,7.946718428440665,6.0,1.0,3.0,-0.25
179,0,91,1.564,1,1.55,1.55,0.407865987,0.592134013,-1,7.946718428440665,5.0,0.0,5.0,0.25
180,0,91,2.085,1,1.55,1.85,0.342092216,0.657907784,1,7.946718428440665,6.0,1.0,5.0,0.25
181,0,92,1.616,1,1.55,0.95,0.410181818,0.589818182,-1,7.946718428440665,4.0,-1.0,5.0,0.25
182,0,92,2.755,1,1.55,2.0,0.460380349,0.539619651,1,7.946718428440665,6.0,1.0,4.0,0.0
183,0,93,2.987,1,2.0,1.7,0.522686025,0.477313975,-1,7.946718428440665,4.0,-1.0,4.0,0.0
184,0,93,2.265,0,2.0,1.85,0.511369134,0.488630866,1,7.946718428440665,5.0,0.0,4.0,0.0
185,0,94,3.625,0,1.7,2.0,0.557703574,0.442296426,-1,7.946718428440665,6.0,1.0,3.0,-0.25
186,0,94,1.866,1,1.25,1.7,0.370461538,0.629538462,1,7.946718428440665,6.0,1.0,5.0,0.25
187,0,95,2.226,0,1.1,2.0,0.501237011,0.498762989,-1,7.946718428440665,7.0,2.0,4.0,0.0
188,0,95,2.166,0,1.85,0.35,0.655124654,0.344875346,1,7.946718428440665,2.0,-3.0,3.0,-0.25
189,0,96,2.179,0,0.8,1.55,0.531782946,0.468217054,-1,7.946718428440665,6.0,1.0,4.0,0.0
190,0,96,4.828,1,1.25,1.1,0.533101802,0.466898198,1,7.946718428440665,5.0,0.0,4.0,0.0
191,0,97,1.847,0,0.65,1.85,0.630434783,0.369565217,-1,7.946718428440665,7.0,2.0,3.0,-0.25
192,0,97,2.376,0,2.0,0.95,0.548961424,0.451038576,1,7.946718428440665,3.0,-2.0,4.0,0.0
193,0,98,1.569,1,1.25,0.65,0.605042017,0.394957983,-1,7.946718428440665,4.0,-1.0,3.0,-0.25
