,sbj,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,react_time,goal,RT,rt_max,value diff,Right Value - Left Value,gaze diff,Dwell Time Advantage (R - L)
124,0,64,1.720385,1,110,98,0.6239863885415416,0.3760136114584584,1720.385,-1,,6.440692531296836,2.0,-10.0,3.0,-0.25
125,0,64,4.970636000000001,0,110,98,0.61759933,0.38240067,,1,4970.636,6.440692531296836,2.0,-10.0,3.0,-0.25
126,0,65,1.7282179999999994,0,94,80,0.5596114469092307,0.4403885530907693,1728.2179999999998,-1,,6.440692531296836,1.0,-15.0,4.0,0.0
127,0,65,3.115157,0,94,80,0.769842697,0.230157303,,1,3115.157,6.440692531296836,1.0,-15.0,2.0,-0.5
128,0,66,2.498348,1,110,94,0.5311127455792911,0.4688872544207089,2498.348,-1,,6.440692531296836,1.0,-15.0,4.0,0.0
129,0,66,3.128098,0,110,94,0.713743343,0.286256657,,1,3128.098,6.440692531296836,1.0,-15.0,2.0,-0.5
130,0,67,3.2404590000000013,1,80,66,0.4218073084585627,0.5781926915414373,3240.4590000000007,-1,,6.440692531296836,1.0,-15.0,5.0,0.25
131,0,67,3.745136,0,80,66,0.753764348,0.246235652,,1,3745.136,6.440692531296836,1.0,-15.0,2.0,-0.5
132,0,68,2.76597,1,50,54,0.5295770727917216,0.4704229272082784,2765.97,-1,,6.440692531296836,5.0,5.0,4.0,0.0
133,0,68,3.673352,1,50,54,0.602562199,0.397437801,,1,3673.352,6.440692531296836,5.0,5.0,3.0,-0.25
134,0,69,2.9983530000000003,1,98,110,0.5751144630624028,0.4248855369375972,2998.353,-1,,6.440692531296836,6.0,10.0,4.0,0.0
135,0,69,4.9427650000000005,1,98,110,0.719398893,0.280601107,,1,4942.765,6.440692531296836,6.0,10.0,2.0,-0.5
136,0,70,2.079715,0,50,52,0.6038454128826216,0.3961545871173784,2080.715,-1,,6.440692531296836,4.0,0.0,3.0,-0.25
137,0,70,2.224593,0,50,52,0.693702441,0.306297559,,1,2226.593,6.440692531296836,4.0,0.0,2.0,-0.5
138,0,71,1.6661029999999994,1,110,89,0.631864376846508,0.3681356231534921,1666.1029999999998,-1,,6.440692531296836,0.0,-20.0,3.0,-0.25
139,0,71,2.997098,1,110,89,0.61247899,0.38752101,,1,2997.098,6.440692531296836,0.0,-20.0,3.0,-0.25
140,0,72,2.4269279999999998,0,87,110,0.7610147478623182,0.2389852521376818,2426.928,-1,,6.440692531296836,8.0,20.0,2.0,-0.5
141,0,72,1.3917380000000001,1,87,110,0.511924103,0.488075897,,1,1394.738,6.440692531296836,8.0,20.0,4.0,0.0
142,0,73,3.2632990000000004,1,110,105,0.6361843951022214,0.3638156048977786,3263.2990000000004,-1,,6.440692531296836,3.0,-5.0,3.0,-0.25
143,0,73,3.3409850000000003,0,110,105,0.706089459,0.293910541,,1,3340.985,6.440692531296836,3.0,-5.0,2.0,-0.5
144,0,74,1.723836,0,80,96,0.4641845726719752,0.5358154273280248,1723.836,-1,,6.440692531296836,7.0,15.0,5.0,0.25
145,0,74,1.6487850000000002,1,80,96,0.611459724,0.388540276,,1,1651.785,6.440692531296836,7.0,15.0,3.0,-0.25
146,0,75,1.3686429999999998,0,80,86,0.430215524891567,0.5697844751084331,1368.6429999999996,-1,,6.440692531296836,5.0,5.0,5.0,0.25
147,0,75,1.990089,0,80,86,0.674876536,0.325123464,,1,1993.089,6.440692531296836,5.0,5.0,3.0,-0.25
148,0,76,1.990443,0,50,55,0.6325486375464865,0.3674513624535135,1990.443,-1,,6.440692531296836,5.0,5.0,3.0,-0.25
149,0,76,2.490532,1,50,55,0.504707663,0.495292337,,1,2492.532,6.440692531296836,5.0,5.0,4.0,0.0
150,0,77,2.997126,0,80,74,0.5577398870913528,0.4422601129086471,2997.126,-1,,6.440692531296836,3.0,-5.0,4.0,0.0
151,0,77,2.5080169999999997,0,80,74,0.670174845,0.329825155,,1,2508.017,6.440692531296836,3.0,-5.0,3.0,-0.25
152,0,78,1.5735299999999999,0,45,50,0.4842685015865214,0.5157314984134785,1573.53,-1,,6.440692531296836,5.0,5.0,4.0,0.0
153,0,78,2.2935239999999997,1,45,50,0.548158774,0.451841226,,1,2293.524,6.440692531296836,5.0,5.0,4.0,0.0
154,0,79,2.3061529999999997,0,69,80,0.6394410806516395,0.3605589193483605,2306.153,-1,,6.440692531296836,6.0,10.0,3.0,-0.25
155,0,79,3.004818,1,69,80,0.701157586,0.298842414,,1,3004.818,6.440692531296836,6.0,10.0,2.0,-0.5
