,sbj,rt,ch,goal,value_diff,gaze_diff
317,3,4.219401498794273,0.0,1,20.0,-0.25
318,3,3.297401498794375,0.0,1,-15.0,-0.25
319,3,26.696401498803407,1.0,1,-10.0,0.25
320,3,5.627401498794553,1.0,-1,-5.0,0.25
321,3,10.315401498794637,0.0,1,0.0,0.0
322,3,1.4344014987945561,0.0,-1,10.0,0.25
323,3,1.9074014987945278,1.0,1,20.0,-0.5
324,3,27.48540149880437,0.0,-1,15.0,-0.25
325,3,6.694401498794909,1.0,1,5.0,0.0
326,3,13.060401498793116,1.0,-1,0.0,0.25
327,3,3.6174014987943397,1.0,-1,-5.0,0.25
328,3,8.25140149879543,0.0,-1,5.0,0.0
329,3,5.665401498794566,1.0,1,5.0,0.0
330,3,5.154401498794395,0.0,-1,-15.0,-0.25
331,3,1.207401498794556,0.0,-1,10.0,-0.25
332,3,2.5744014987944546,1.0,1,5.0,0.0
333,3,3.296401498794375,1.0,1,-10.0,0.0
334,3,2.044401498794513,1.0,1,-20.0,-0.25
335,3,1.4444014987945564,1.0,-1,-10.0,-0.25
336,3,4.333401498794261,1.0,1,-5.0,0.0
337,3,2.2644014987944887,1.0,1,20.0,0.25
338,3,1.7554014987945445,1.0,-1,0.0,0.0
339,3,2.8024014987944295,0.0,-1,10.0,-0.25
340,3,2.0384014987945136,0.0,-1,10.0,0.0
341,3,2.777401498794432,0.0,-1,15.0,-0.25
342,3,2.0014014987945172,1.0,-1,-10.0,0.0
343,3,3.1174014987943948,0.0,1,-5.0,-0.25
344,3,3.231401498794382,0.0,-1,-15.0,0.0
345,3,7.584401498795207,1.0,1,10.0,-0.25
346,3,2.201401498794495,0.0,-1,-5.0,0.0
347,3,15.137401498791965,0.0,-1,5.0,0.0
348,3,10.412401498794583,0.0,-1,20.0,-0.25
349,3,5.05040149879436,1.0,1,-5.0,0.25
350,3,7.156401498795064,1.0,-1,10.0,-0.25
351,3,3.758401498794324,0.0,1,-15.0,0.0
352,3,5.607401498794546,0.0,-1,-15.0,-0.25
353,3,2.275401498794487,0.0,-1,15.0,0.0
354,3,8.55640149879553,0.0,1,-10.0,0.0
355,3,3.488401498794354,1.0,1,-10.0,0.0
356,3,3.5004014987943526,0.0,-1,-20.0,0.0
357,3,6.639401498794891,1.0,1,-5.0,0.25
358,3,5.994401498794676,0.0,1,-20.0,0.0
359,3,3.369401498794367,1.0,1,-5.0,0.25
360,3,11.778401498793826,0.0,1,5.0,0.25
361,3,1.8484014987945343,1.0,-1,-20.0,0.0
362,3,4.573401498794235,0.0,1,20.0,0.0
363,3,5.543401498794525,0.0,-1,5.0,-0.25
364,3,10.09540149879476,0.0,-1,-20.0,0.0
365,3,12.669401498793333,0.0,-1,20.0,0.0
366,3,1.4384014987945561,0.0,1,-5.0,0.25
367,3,10.644401498794455,1.0,1,10.0,-0.25
368,3,2.332401498794481,0.0,1,-5.0,0.25
369,3,4.482401498794244,1.0,-1,-15.0,-0.25
370,3,3.287401498794376,0.0,1,-20.0,0.0
371,3,13.886401498792658,0.0,1,-5.0,0.0
372,3,2.6854014987944423,0.0,-1,-10.0,0.0
373,3,4.5904014987942325,1.0,1,-5.0,-0.25
374,3,20.40740149879572,0.0,-1,0.0,-0.25
375,3,4.312401498794263,1.0,1,-5.0,0.0
376,3,1.9134014987945271,0.0,-1,5.0,0.0
377,3,4.961401498794331,1.0,1,10.0,-0.25
378,3,4.203401498794275,1.0,1,-5.0,0.0
379,3,1.9034014987945282,1.0,1,15.0,0.25
380,4,2.972117530822662,1.0,1,20.0,0.0
381,4,3.497117530822605,1.0,1,10.0,0.0
382,4,5.9081175308226825,1.0,1,20.0,0.0
383,4,14.42211753082083,0.0,1,-5.0,0.25
384,4,2.8991175308226707,0.0,-1,5.0,0.0
385,4,4.7481175308224675,0.0,1,-5.0,0.25
386,4,6.88811753082301,1.0,1,-10.0,0.0
387,4,2.730117530822689,0.0,-1,0.0,0.0
388,4,8.370117530823505,1.0,-1,-5.0,0.0
389,4,4.35411753082251,0.0,-1,-5.0,0.25
390,4,4.202117530822527,1.0,1,15.0,0.25
391,4,3.0171175308226577,0.0,1,-10.0,-0.25
392,4,7.18811753082311,1.0,-1,0.0,0.0
393,4,6.733117530822958,0.0,-1,15.0,0.0
394,4,2.90311753082267,0.0,-1,5.0,0.0
395,4,5.105117530822428,1.0,1,0.0,0.0
396,4,3.1041175308226476,1.0,-1,0.0,0.25
397,4,3.497117530822605,0.0,1,-15.0,0.0
398,4,3.6991175308225825,0.0,1,-10.0,0.0
399,4,7.315117530823152,0.0,1,-5.0,0.0
400,4,4.00011753082255,1.0,1,-15.0,-0.25
401,4,5.206117530822448,1.0,1,-10.0,-0.25
402,4,5.086117530822429,0.0,1,-20.0,-0.25
403,4,4.476117530822497,0.0,-1,5.0,0.0
404,4,2.428117530822722,0.0,-1,10.0,0.0
405,4,4.674117530822475,0.0,1,-20.0,-0.25
406,4,4.500117530822495,1.0,1,10.0,-0.25
407,4,13.452117530821367,1.0,-1,-5.0,-0.25
408,4,4.287117530822518,0.0,-1,-5.0,0.0
409,4,5.641117530822593,0.0,-1,-5.0,0.0
410,4,8.68711753082361,1.0,1,-5.0,0.0
411,4,5.8391175308226595,1.0,1,15.0,0.0
412,4,5.968117530822703,0.0,-1,5.0,0.0
413,4,3.575117530822596,1.0,-1,-10.0,-0.25
414,4,4.470117530822497,0.0,-1,15.0,0.0
415,4,7.4381175308231935,0.0,1,-5.0,-0.5
416,4,3.7171175308225806,1.0,1,0.0,0.0
417,4,4.8531175308224554,1.0,-1,-10.0,0.0
418,4,9.630117530823485,1.0,-1,-20.0,0.0
419,4,4.08511753082254,1.0,1,0.0,-0.25
420,4,8.543117530823562,1.0,1,20.0,0.0
421,4,10.778117530822849,0.0,-1,-5.0,0.25
422,4,5.2341175308224575,1.0,1,10.0,0.0
423,4,3.222117530822635,0.0,-1,5.0,0.25
424,4,4.877117530822453,1.0,1,5.0,0.0
425,4,7.761117530823301,0.0,-1,10.0,0.0
426,4,3.803117530822571,1.0,-1,5.0,0.0
427,4,2.72511753082269,0.0,1,-15.0,0.0
428,4,5.927117530822689,0.0,1,-5.0,-0.25
429,4,4.0761175308225415,1.0,-1,5.0,0.0
430,4,3.8171175308225695,0.0,1,-10.0,-0.25
431,4,7.706117530823283,0.0,1,-5.0,0.0
432,4,3.7431175308225777,0.0,1,-5.0,0.0
433,4,9.543117530823533,0.0,1,-10.0,-0.25
434,4,6.531117530822891,0.0,-1,0.0,0.0
435,4,2.72311753082269,0.0,1,-20.0,-0.25
436,4,2.8241175308226785,1.0,1,10.0,0.25
437,4,3.8291175308225682,1.0,1,10.0,0.0
438,4,4.480117530822497,1.0,1,-5.0,0.0
439,4,3.406117530822615,0.0,1,0.0,0.0
440,4,4.591117530822484,1.0,1,15.0,0.0
441,4,4.53911753082249,1.0,1,0.0,0.0
442,4,5.956117530822699,0.0,1,-5.0,0.0
443,4,4.128117530822536,0.0,-1,20.0,0.0
444,4,3.9251175308225577,0.0,-1,0.0,0.0
445,4,6.249117530822796,0.0,-1,0.0,0.0
446,4,4.246117530822522,1.0,1,10.0,0.0
447,4,7.890117530823344,0.0,-1,15.0,-0.25
448,4,4.392117530822507,0.0,-1,5.0,0.0
449,4,3.522117530822602,1.0,1,10.0,0.0
450,4,3.9181175308225584,0.0,-1,-15.0,0.0
451,4,2.787117530822683,1.0,1,15.0,0.0
452,4,2.954117530822664,0.0,-1,-20.0,0.25
453,4,3.0941175308226487,1.0,1,20.0,0.0
454,4,3.4891175308226057,1.0,1,10.0,0.0
455,4,4.634117530822479,0.0,1,-5.0,0.0
456,4,4.688117530822474,0.0,-1,5.0,-0.25
457,4,2.8141175308226796,1.0,1,5.0,0.0
458,4,2.672117530822695,1.0,-1,-10.0,0.0
459,4,5.69011753082261,1.0,1,5.0,0.0
460,4,4.038117530822545,1.0,1,5.0,0.0
461,4,3.769117530822575,1.0,-1,-10.0,0.25
462,4,3.8701175308225637,1.0,-1,-10.0,0.0
463,4,6.753117530822965,0.0,-1,-5.0,0.0
464,4,3.36011753082262,0.0,1,-10.0,-0.25
465,4,5.463117530822534,0.0,-1,-15.0,0.0
466,4,5.2311175308224565,0.0,1,-20.0,-0.25
467,4,5.2641175308224675,0.0,1,-15.0,-0.25
468,4,5.595117530822578,1.0,-1,-10.0,0.0
469,4,8.879117530823674,0.0,-1,10.0,0.0
470,4,6.237117530822792,0.0,-1,0.0,-0.25
471,4,5.060117530822433,1.0,1,-5.0,0.0
472,4,3.1561175308226423,0.0,-1,5.0,-0.25
473,4,4.0171175308225475,1.0,1,-10.0,0.25
474,4,14.850117530820592,1.0,1,-5.0,-0.25
475,5,2.7717894759177004,1.0,-1,-20.0,0.25
476,5,2.646789475917714,0.0,-1,10.0,-0.25
